기준연도,시도코드,시도명,시군구코드,시군구명,분만_A취약지,분만_접근성취약인구비율(백분율),분만_TRI(백분율),소아청소년과_취약지,소아청소년과_접근성취약인구비율(백분율),소아청소년과_TRI(백분율),인공신장실_취약지,인공신장실_접근성취약인구비율(백분율),인공신장실_TRI(백분율),응급_취약지,가임여성인구(백분율),분만건수(건),인구수(명),노인인구비율(백분율),재정자립도(백분율),의료급여 수급자 비율(백분율),면적당종합병원(100제곱킬로미터당 개수),면적당병원(100제곱킬로미터당 개수),면적당의원(100제곱킬로미터당 개수)
2023,47,경상북도,47840,성주군,,21.46002979,37.31343284,,0.28,25.67,,0.796477689,61.17656361,Y,10.66387872,134,42086,36.60362116,11.6,4.132015397,0,0.162297619,2.596761896
2023,47,경상북도,47850,칠곡군,,0,82.27146814,,0,71.38,,0,88.33325403,,19.0674709,361,110581,18.84591386,20,3.379423228,0,0.221705958,10.86359196
2023,47,경상북도,47900,예천군,,0.026307725,39.51612903,,4.65,60.35,,0.219281071,71.29217649,Y,15.47943967,248,55325,32.35065522,9.5,3.589697244,0,0.151153167,3.023063348
2023,47,경상북도,47920,봉화군,,27.67867022,0,,18.97,17.68,,12.64957265,76.10472938,Y,9.823328717,51,29603,41.32013647,6.2,4.002972672,0,0.083146223,0.665169783
2023,47,경상북도,47930,울진군,,9.438821097,24.57142857,,1.9,34.14,,4.354648882,83.04950843,Y,14.11215154,175,46669,31.24772333,10.9,4.394780261,0,0.100945559,1.61512894
2023,47,경상북도,47940,울릉군,Y,100,0,Y,100,0,Y,100,0,Y,12.96683926,21,9077,28.96331387,11.5,1.905916052,0,1.369234188,0
2023,48,경상남도,48121,창원시 의창구,,0,93.82845188,,0,93.11,,0,97.33336823,,20.14277545,956,213342,16.71025865,31.2,2.631924328,0.979121778,6.364291557,53.3621369
2023,48,경상남도,48123,창원시 성산구,,0,94.89878543,,0,96.26,,0,96.5954127,,22.23608512,1235,245259,11.74187288,31.2,1.137165201,2.244467902,12.34457346,190.7797716
2023,48,경상남도,48125,창원시 마산합포구,,0.188875977,92.6128591,,0.01,95.09,,0.12475464,97.49818934,,18.36126069,731,179394,24.39156271,31.2,3.569238659,1.243788699,4.975154796,41.04502707
2023,48,경상남도,48127,창원시 마산회원구,,0,90.54054054,,0,96.44,,0,97.81276416,,19.04814868,592,179818,21.84764595,31.2,3.251621084,2.20719875,12.13959312,140.1571206
2023,48,경상남도,48129,창원시 진해구,,0.030382599,84.57997699,,0,91.34,,0,95.21851132,,21.09399922,869,191225,17.1672114,31.2,2.327101582,0.806167311,8.061673108,73.36122529
2023,48,경상남도,48170,진주시,,0.086242419,90.77117573,,0.03,87.27,,0.078350528,96.57322862,,20.71222081,1582,341074,19.73530671,19,3.214551681,0.561057486,2.524758688,29.03472491
2023,48,경상남도,48220,통영시,,1.934078006,64.01179941,,1.02,84.95,,3.791973656,92.00678088,Y,17.41420644,339,120551,23.8737132,12.3,4.750686431,0.416814711,2.500888267,30.42747391
2023,48,경상남도,48240,사천시,,0,61.57894737,,0,83.1,,0.018971552,92.41793511,Y,17.15399431,380,109030,24.86838485,14.6,3.881500504,0,1.002949134,12.28612689
2023,48,경상남도,48250,김해시,,0,89.98371336,,0,95.28,,0,94.81327997,,21.9876363,2456,533659,14.02206278,28.2,2.769558838,1.078641943,5.608938104,52.85345521
2023,48,경상남도,48270,밀양시,,0.502231585,39.25925926,,0.14,84.44,,0.068706995,84.51076397,Y,14.01492888,270,102084,33.0531719,14.8,4.557031464,0,0.876429692,5.634190875
2023,48,경상남도,48310,거제시,,0.35990621,58.54241338,,0.15,89.54,,0.551955424,89.1415445,Y,20.84362369,837,234038,14.36604312,16.5,2.028730377,0.742803711,2.228411132,25.5029274
2023,48,경상남도,48330,양산시,,0.217211533,88.6984127,,0.02,93.77,,0.097560688,91.74529213,,21.42306024,1575,355122,16.79507324,25.2,2.74159303,0.617661358,2.676532553,39.94210118
2023,48,경상남도,48720,의령군,Y,89.53063002,2.173913043,,15.02,26.96,,15.57341008,18.95353886,Y,10.46908734,46,25475,41.13444553,7.7,5.397448479,0,0.207076119,2.07076119
2023,48,경상남도,48730,함안군,,2.824439473,49.68152866,,0.12,88.17,,0,73.46526375,Y,14.70690829,157,60203,29.83406143,15.1,3.624404099,0,0.480062766,5.280690425
2023,48,경상남도,48740,창녕군,,8.748271845,39.62264151,,1.95,52.09,,0.241809812,66.77754678,Y,11.88795263,159,57083,36.15787537,13.1,4.45316469,0,0.375469671,5.444310223
2023,48,경상남도,48820,고성군,,6.884584529,19.27710843,,0.08,73.88,,2.469570987,65.64382172,Y,12.36354815,83,49468,35.35821137,9.4,4.572653028,0,0.386083349,3.474750145
