기준연도,대분류,대분류 코드,중분류,중분류 코드,지역1,지역2,입원건수
2023,입원전체,0,입원 전체,0,41480,11110,40
2023,입원전체,0,입원 전체,0,41500,11110,5
2023,입원전체,0,입원 전체,0,41550,11110,4
2023,입원전체,0,입원 전체,0,41570,11110,44
2023,입원전체,0,입원 전체,0,41590,11110,34
2023,입원전체,0,입원 전체,0,41610,11110,9
2023,입원전체,0,입원 전체,0,41630,11110,7
2023,입원전체,0,입원 전체,0,41650,11110,19
2023,입원전체,0,입원 전체,0,41670,11110,2
2023,입원전체,0,입원 전체,0,41800,11110,0
2023,입원전체,0,입원 전체,0,41820,11110,9
2023,입원전체,0,입원 전체,0,41830,11110,11
2023,입원전체,0,입원 전체,0,43111,11110,9
2023,입원전체,0,입원 전체,0,43112,11110,6
2023,입원전체,0,입원 전체,0,43113,11110,2
2023,입원전체,0,입원 전체,0,43114,11110,7
2023,입원전체,0,입원 전체,0,43130,11110,11
2023,입원전체,0,입원 전체,0,43150,11110,2
2023,입원전체,0,입원 전체,0,43720,11110,0
2023,입원전체,0,입원 전체,0,43730,11110,1
2023,입원전체,0,입원 전체,0,43740,11110,1
2023,입원전체,0,입원 전체,0,43745,11110,0
2023,입원전체,0,입원 전체,0,43750,11110,8
2023,입원전체,0,입원 전체,0,43760,11110,2
2023,입원전체,0,입원 전체,0,43770,11110,1
2023,입원전체,0,입원 전체,0,43800,11110,0
2023,입원전체,0,입원 전체,0,44131,11110,31
2023,입원전체,0,입원 전체,0,44133,11110,28
2023,입원전체,0,입원 전체,0,44150,11110,0
2023,입원전체,0,입원 전체,0,44180,11110,3
2023,입원전체,0,입원 전체,0,44200,11110,7
2023,입원전체,0,입원 전체,0,44210,11110,2
2023,입원전체,0,입원 전체,0,44230,11110,2
2023,입원전체,0,입원 전체,0,44250,11110,0
2023,입원전체,0,입원 전체,0,44270,11110,7
2023,입원전체,0,입원 전체,0,44710,11110,0
2023,입원전체,0,입원 전체,0,44760,11110,0
2023,입원전체,0,입원 전체,0,44770,11110,1
2023,입원전체,0,입원 전체,0,44790,11110,0
2023,입원전체,0,입원 전체,0,44800,11110,6
2023,입원전체,0,입원 전체,0,44810,11110,2
2023,입원전체,0,입원 전체,0,44825,11110,0
2023,입원전체,0,입원 전체,0,45111,11110,6
2023,입원전체,0,입원 전체,0,45113,11110,16
2023,입원전체,0,입원 전체,0,45130,11110,26
2023,입원전체,0,입원 전체,0,45140,11110,13
2023,입원전체,0,입원 전체,0,45180,11110,3
2023,입원전체,0,입원 전체,0,45190,11110,0
2023,입원전체,0,입원 전체,0,45210,11110,0
2023,입원전체,0,입원 전체,0,45710,11110,0
2023,입원전체,0,입원 전체,0,45720,11110,0
2023,입원전체,0,입원 전체,0,45730,11110,0
2023,입원전체,0,입원 전체,0,45740,11110,0
2023,입원전체,0,입원 전체,0,45750,11110,0
2023,입원전체,0,입원 전체,0,45770,11110,0
2023,입원전체,0,입원 전체,0,45790,11110,0
2023,입원전체,0,입원 전체,0,45800,11110,1
2023,입원전체,0,입원 전체,0,46110,11110,16
2023,입원전체,0,입원 전체,0,46130,11110,9
2023,입원전체,0,입원 전체,0,46150,11110,10
2023,입원전체,0,입원 전체,0,46170,11110,1
2023,입원전체,0,입원 전체,0,46230,11110,0
2023,입원전체,0,입원 전체,0,46710,11110,0
2023,입원전체,0,입원 전체,0,46720,11110,0
2023,입원전체,0,입원 전체,0,46730,11110,1
2023,입원전체,0,입원 전체,0,46770,11110,0
2023,입원전체,0,입원 전체,0,46780,11110,1
2023,입원전체,0,입원 전체,0,46790,11110,12
2023,입원전체,0,입원 전체,0,46800,11110,0
2023,입원전체,0,입원 전체,0,46810,11110,0
2023,입원전체,0,입원 전체,0,46820,11110,0
2023,입원전체,0,입원 전체,0,46830,11110,0
2023,입원전체,0,입원 전체,0,46840,11110,0
2023,입원전체,0,입원 전체,0,46860,11110,0
2023,입원전체,0,입원 전체,0,46870,11110,0
2023,입원전체,0,입원 전체,0,46880,11110,1
2023,입원전체,0,입원 전체,0,46890,11110,1
2023,입원전체,0,입원 전체,0,46900,11110,0
2023,입원전체,0,입원 전체,0,46910,11110,0
2023,입원전체,0,입원 전체,0,47111,11110,34
2023,입원전체,0,입원 전체,0,47113,11110,3
2023,입원전체,0,입원 전체,0,47130,11110,5
2023,입원전체,0,입원 전체,0,47150,11110,4
2023,입원전체,0,입원 전체,0,47170,11110,14
